period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,planetTd,StarID
14.3392144,4.6064739,392.6346872,2.2963233,118.7538488,841.9410276,6295.7,1.1374201,4.438,7.4371,1,130.01,263003176
2.8716983,4.668,8568.0,18.1267,4494.25,2281.0,6840.0,1.91,4.05,9.823,1,1300.01,293687315
6.0964074,2.3632965,1142.4891745,2.5856853,69.8633506,737.3642914,4820.4,0.731699,4.6,10.5216,1,1301.01,356867115
1.56029,2.751,1690.0,18.4825,38412.5,3900.0,6897.0,2.29,3.89,9.87278,0,1303.01,185405474
8.8735214,4.059,1949.0,6.0401,1064.98,1591.0,5992.0,1.18,4.34,9.76577,0,1304.01,186000935
1.3797091,2.352,1320.0,22.2329,28702.5,3626.0,5924.0,2.67,3.68,10.6168,0,1308.01,277014266
2.6796,2.771,7590.0,11.8862,823.434,1492.0,5938.0,1.32,4.23,10.5742,0,1310.01,294179389
11.0765063,4.692,4400.0,12.8076,189.348,1033.0,6460.0,1.86,4.0,10.1098,0,1312.01,405904232
2.5778717,3.472,1010.0,18.687,62241.5,4400.0,8321.0,3.16,3.75,9.14819,0,1315.01,137284119
3.80509,3.347,1280.0,8.57193,1214.11,1644.0,6555.5,2.35,3.83,10.3332,0,1316.01,15565627
2.99041,3.952,1290.0,24.2511,54264.3,4252.0,8542.0,3.56,3.66,10.2918,0,1317.01,165523947
0.890967,1.784,1100.0,2.89678,3225.32,2099.0,5159.2,0.87,4.5,9.3213,0,1319.01,167098530
2.1096805,2.1344043,1309.7297126,3.6396725,644.2138136,1284.923458,5673.0,0.940806,4.55383,10.8061,1,132.01,89020549
2.03905,2.26,430.0,6.42307,26394.8,3550.0,9003.0,2.68,3.94,8.26618,0,1323.01,256886630
2.9424142,4.073,1400.0,9.70968,23595.1,3452.0,6854.0,1.79,4.1,10.1894,0,1324.01,266688542
1.0793011,2.196,1562.0,3.31116,7736.05,2612.0,4349.3,0.67,4.62,9.9809,0,1325.01,274942910
4.0157492,2.706,1150.0,6.47219,669.61,1417.0,6585.0,2.07,3.94,10.3599,0,1328.01,330332501
2.01976,3.394,3963.85,7.3626,5926.69,2444.0,7274.6,1.72,4.18,10.2835,0,1329.01,345996087
2.65646,2.475,773.369,12.1711,948.066,1545.0,6135.4,3.98,3.4,9.08409,0,1331.01,387664866
4.7201912,4.416,6710.0,15.2105,1112.85,1609.0,6696.0,1.8,4.08,9.03527,1,1333.01,395171208
3.3295394,2.77,2620.0,14.3988,2238.0,1916.0,7965.0,2.35,3.98,10.4806,0,1335.01,89759617
